Date,Event,Category
1990-08-02,Gulf War (Iraq invades Kuwait),Conflict
1997-07-01,Asian Financial Crisis,Economic
2001-09-11,9/11 Terrorist Attacks,Geopolitical
2003-03-20,Iraq War Invasion,Conflict
2008-07-11,Brent Oil Peak Price ($147),Market
2008-09-15,Lehman Brothers Collapse,Economic
2011-02-15,Libyan Civil War (Arab Spring),Conflict
2014-11-27,OPEC Policy Shift (No Cuts),Policy
2016-11-30,OPEC Algiers Agreement,Policy
2020-03-08,Saudi-Russia Price War,Policy
2020-04-20,COVID-19 Global Lockdowns,Economic/Health
2022-02-24,Russian Invasion of Ukraine,Conflict